Materials Science and Engineering Ontology,Short Name,Domain,Last update,Number of classes,Number of properties,Reference (Ontology),Ontology file,Reference (Paper)
PMD Core Ontology,PMDCO,Materials Science experiment,16-Jul-21,26,66,https://github.com/materialdigital/core-ontology ,https://raw.githubusercontent.com/materialdigital/core-ontology/main/pmdco_core.ttl,http://ceur-ws.org/Vol-2941/paper11.pdf 
Elementary Multiperspective Material Ontology,EMMO,A multidisciplinary ontology for applied sciences,29-May-22,463,49,https://github.com/emmo-repo/EMMO ,https://raw.githubusercontent.com/emmo-repo/EMMO/master/emmo.ttl,
EMMO Mechanical Testing,EMMO_mechanical_testing,Mechanical testing,1-Jun-22,818,67,https://github.com/emmo-repo/domain-mechanical-testing ,https://raw.githubusercontent.com/emmo-repo/domain-mechanical-testing/master/emmo-mechanical-testing.owl,
EMMO Microstructure domain ontology,EMMO_microstructure,Metallic microstructures,11-Feb-20,61,2,https://github.com/jesper-friis/emmo-microstructure ,https://raw.githubusercontent.com/jesper-friis/emmo-microstructure/master/emmo-microstructure.owl,
Basic Formal Ontology,BFO,"Supporting information retrieval, analysis and integration in scientific and other domains",16-Feb-22,36,64,https://github.com/BFO-ontology/BFO-2020 ,https://raw.githubusercontent.com/BFO-ontology/BFO-2020/master/21838-2/owl/bfo-2020.owl,https://mitpress.mit.edu/books/building-ontologies-basic-formal-ontology 
The Dublin Core,DC,Specification of all metadata terms ,20-Jan-20,22,55,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/dublin_core_terms.ttl,
Semantic Sensor Network Ontology,SSN,Describing sensors and their observations,6-May-22,16,23,https://raw.githubusercontent.com/w3c/sdw/gh-pages/ssn/integrated/sosa.ttl ,https://raw.githubusercontent.com/w3c/sdw/gh-pages/ssn/integrated/sosa.ttl ,
SMART-Protocols,SP,Experimental protocols,3-Dec-14,86,8,https://github.com/oeg-upm/SMART-Protocols ,https://raw.githubusercontent.com/oeg-upm/SMART-Protocols/master/wfProtocolV2.0.owl,
Service Ontology,SO,Deneral concept definition of a service,24-Nov-13,7,8,http://dini-ag-kim.github.io/service-ontology/service.ttl ,http://dini-ag-kim.github.io/service-ontology/service.ttl ,
Friend Of A Friend ontology,FOAF,Describe people and social relationship on the Web,27-Aug-17,19,71,https://raw.githubusercontent.com/ESIPFed/toolmatch-ontology/master/v3/foaf.owl ,https://raw.githubusercontent.com/ESIPFed/toolmatch-ontology/master/v3/foaf.owl ,
Material Science and Engineering Ontology,MSEO,Material Sience and Engineering,11-Mar-22,1691,317,https://github.com/Mat-O-Lab/MSEO,https://raw.githubusercontent.com/Mat-O-Lab/MSEO/main/MSEO_mid.ttl,
Common Core Ontology,CCO,Comprise twelve ontologies that contain classes and relations that are used in many domains of interest.,15-Mar-22,,,,http://rest.matportal.org/ontologies/CCO/download?apikey=66c82e77-ce0d-4385-8056-a95898e47ebb&download_format=rdf,https://www.nist.gov/system/files/documents/2021/10/14/nist-ai-rfi-cubrc_inc_004.pdf 
Baden W�rttemberg Material Digital Ontology,BWMD,Material Digital Ontology,22_Nov 2021,787,39,https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology ,https://gitlab.cc-asp.fraunhofer.de/EMI_datamanagement/bwmd_ontology/-/raw/master/BWMD_domain.owl,
PROV Ontology,PROVO,Represent and interchange provenance information,30-Apr-13,31,50,https://www.w3.org/TR/prov-o/ ,http://www.w3.org/ns/prov-o.owl,
